OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18040686,04/02/2018,20:39:00,04/03/2018,14:23:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive  NW,33.7741360837,-84.398818020899995,1
18040747,04/10/2018,01:00:00,04/10/2018,01:32:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Techwood Drive  NW @ Bobby Dodd Way  NW,,,,,,1
18040786,04/07/2018,08:00:00,,,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z1,Tenth Street @ Fowler Street  Z1,,,Tenth Street @ Fowler Street NW,33.781530,-84.393571,1
18040871,04/23/2018,14:42:00,04/23/2018,15:32:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCAM,Z2,Biltmore Hotel-Parking Deck,817,,West Peachtree Street NE,,,1
18040918,04/28/2018,20:00:00,04/28/2018,23:30:00,2308,Larceny - From Building,Closed/Cleared,Unfounded,ONCAM,Z2,Clough Undergraduate Learning Center,266,,Fourth Street NW,,,1
18040927,04/30/2018,13:50:00,04/30/2018,14:03:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z1,,,,Tenth Street @ Hemphill Avenue NW,,,1
18050954,05/03/2018,16:20:00,05/03/2018,18:16:00,5499,Traffic Offense (describe offense),Closed/Cleared,Cleared by Arrest,NONCLERY,Z1,,,,14th Street NW @ State Street NW,,,2
18051030,05/10/2018,12:50:00,05/10/2018,14:00:00,2308,Larceny - From Building,Further Investigation,,ONCAM,Z3,Student Center   104   Z3,351,,Ferst Drive NW,33.7741360837,-84.398818020899995,1
18051054,05/11/2018,17:00:00,05/14/2018,06:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Bunger Henry Building   86  Z3,778,,Atlantic Drive NW,33.775648846099998,-84.398269699899998,1
18040920,04/23/2018,22:00:00,04/25/2018,17:15:00,2605,Fraud - Illegal Use of Credit/Financial Transaction Cards,Further Investigation,,ONCAM,Z2,Georgia Tech Hotel & Conference Center   Room 538,800,,Spring Street NW,,,1
18040924,04/14/2018,08:00:00,04/15/2018,19:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Campus Recreation Center,750,,Ferst Drive  NW,,,1
18050948,05/02/2018,22:23:00,05/02/2018,22:40:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z4,Woodruff Residence Hall,890,,Curran Street  NW,33.7791074274,-84.4066248729,1
18050984,05/04/2018,02:30:00,05/04/2018,02:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAMRES,Z1,Center Street Apartments,939,NW,Hemphill Avenue,,,1
18051076,05/16/2018,08:55:00,05/16/2018,09:00:00,7399,Miscellaneous Offenses,Closed/Cleared,,ONCAM,Z2,Clough Undergraduate Learning Commons  166  Z2,266,,Fourth Street NW,33.774681795699998,-84.396379388400007,1
18040689,04/02/2018,20:30:00,04/03/2018,16:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Barnes and Noble Bookstore 172  Z2,48,,Fifth Street  NW,33.77668,-84.38863,1
18040702,04/05/2018,12:34:00,04/05/2018,12:39:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,,North Campus Parking Deck   148   Z1,352,,Peachtree Place NW,33.780134924599999,-84.398447156000003,1
18040722,04/07/2018,01:27:00,04/07/2018,01:44:00,4104,Liquor - Possession Of,Closed/Cleared,Prosecution Declined,ONCAM,Z2,Catholic Center,172,,Fourth Street  NW,33.775156,-84.391976,1
18040742,04/09/2018,13:50:00,04/09/2018,19:01:00,2902,Damage to Property - Private,Inactive,,ONCAM,Z3,Clydeck,391,,Ferst Drive NW,33.774173099499997,-84.400583143299997,1
18040760,04/11/2018,16:25:00,04/11/2018,16:45:00,5499,Traffic Offense (describe offense),Closed/Cleared,Prosecution Declined,NONCAM,Z4,,,,Tenth Street @ Northside Drive NW,33.781583,-84.407442,1
18040793,04/13/2018,17:55:00,04/13/2018,18:20:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,,,,,,,1
18040850,04/19/2018,19:00:00,04/19/2018,21:00:00,2602,Fraud - Swindle,Further Investigation,,ONCAM,Z3,Manufacturing Related Disciplines Complex,801,,Ferst Drive  NW,,,1
18040852,03/06/2018,08:36:00,04/20/2018,15:58:00,2404,Theft of Automobile,Inactive,,ONCAM,Z4,IPST,500,,Tenth Street  NW,,,1
18040870,04/20/2018,11:00:00,04/23/2018,11:00:00,2308,Larceny - From Building,Closed/Cleared,Unfounded,ONCAM,Z4,Scheller College of Business,800,,West Peachtree Street,,,1
18040897,04/25/2018,19:30:00,04/26/2018,19:30:00,2317,Larceny - Bicycle,Further Investigation,,ONCAM,Z1,Graduate Living Center,301,,Tenth Street NW,,,1
18040917,04/29/2018,00:30:00,04/29/2018,00:33:00,4802,Obstructing Officer/Criminal Investigation,Closed/Cleared,Cleared by Arrest,PUB,Z1,Center Street Apartments,939,,Hemphill Avenue NW,,,1
18051051,05/13/2018,04:16:00,05/13/2018,04:27:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,NAA Dining Hall,120,,North Avenue  NW,,,1
18040817,04/16/2018,12:02:00,04/16/2018,12:07:00,2205,Burglary - No Forced Entry -NonResidence,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Smith Building   24   Z2,685,,Cherry Street NW,33.773645202700003,-84.395148047299998,1
18040825,04/18/2018,03:26:00,04/18/2018,04:52:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z3,Ferst Drive  NW @ Cherry Street  NW,,,,33.772387,-84.395512,1
18040845,04/18/2018,11:00:00,04/18/2018,11:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,,PUB,Z2,,,,Fifth Street @ Spring Street NW,33.776853,-84.388807,1
18040894,04/23/2018,23:35:00,04/24/2018,18:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Beringause Building   46   Z1,879,,Hemphill Avenue NW,33.778956412500001,-84.401314659600004,1
18050941,05/02/2018,02:26:00,05/02/2018,02:30:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z3,Clough Undergraduate Learning Commons,266,,Fourth Street NW,,,1
18050976,05/05/2018,02:40:00,05/05/2018,03:10:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCAM,Z1,,1968,,Hawks Lane,33.778956412500001,-84.401314659600004,1
18051014,05/08/2018,23:59:00,05/08/2018,23:59:00,9999V,,Closed/Cleared,,ONCAM,Z3,Manufacturing Related Disciplines Complex,801,,Ferst Drive NW,,,1
18051048,05/12/2018,17:48:00,05/12/2018,17:55:00,2206,Possession of Burglary Tools,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,North Avenue Dining Facility,120,,North Avenue NW,,,1
18051075,05/16/2018,06:58:00,05/16/2018,07:20:00,2317,Larceny - Bicycle,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Clough Undergraduate Learning Commons  166  Z2,266,,Fourth Street NW,33.774681795699998,-84.396379388400007,1
18040795,04/14/2018,02:00:00,04/14/2018,02:35:00,9999,Non-Crime (not reported to state),Closed/Cleared,,NONCLERY,OFFCAM,,496,,Calhoun Street  NW,,,1
18040826,04/16/2018,14:30:00,04/17/2018,06:00:00,2205,Burglary - No Forced Entry -NonResidence,Inactive,,ONCAM,Z2,Library   77   Z2,704,,Cherry Street NW,33.774317321700003,-84.395723825199994,1
18040846,04/04/2018,12:00:00,04/04/2018,12:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z4,Eighth Street Apartments,555,E,Eighth Street NW,,,1
