OCANumber,IncidentFromDate,IncidentFromTime,IncidentToDate,IncidentToTime,OffenseCode,Offense Description,CaseStatus,CaseDisposition,LocationCode,PatrolZone,LocationLandmark,LocationStreetNumber,LocationDirectional,LocationStreet,LocationLatitude,LocationLongitude,CreatedSource
18051103,05/21/2018,15:52:00,05/22/2018,16:15:00,5707,Criminal Trespass,Closed/Cleared,Cleared by Arrest,ONCAM,Z2,Barnes and Noble Bookstore 172  Z2,48,,Fifth Street  NW,33.77668,-84.38863,1
18051127,05/25/2018,16:22:00,05/25/2018,16:26:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Ferst Drive NW @  Cherry Street NW,,,,,,1
18061161,06/01/2018,15:30:00,06/01/2018,15:33:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Hall Building,215,,Bobby Dodd Way  NW,,,1
18061172,06/04/2018,11:00:00,06/04/2018,16:00:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Library,704,,Cherry Street  NW,,,1
18061217,06/10/2018,10:00:00,06/11/2018,17:00:00,2317,Larceny - Bicycle,Inactive,,ONCAM,Z1,Graduate Living Center,301,,Tenth Street  NW,33.781957443700001,-84.396605664800006,1
18061251,06/16/2018,15:07:00,06/16/2018,15:15:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Barnes and Noble Bookstore 172  Z2,48,,Fifth Street NW,33.77668,-84.38863,1
18061261,06/18/2018,10:36:00,06/18/2018,10:55:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Beringause Building,879,,Hemphill Avenue NW,33.778956412500001,-84.401314659600004,1
18061316,06/25/2018,10:47:00,06/25/2018,10:47:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z1,Georgia Tech Stinger Main Hub,555,,Fourteenth Street  NW,,,1
18071384,07/02/2018,22:58:00,07/02/2018,23:00:00,7399,Miscellaneous Offenses,Closed/Cleared,Prosecution Declined,PUB,Z3,Ferst Drive NW @ Hemphill Avenue NW,,,,,,1
18071446,07/09/2018,10:47:00,07/12/2018,10:47:00,9999,Non-Crime (not reported to state),Closed/Cleared,,ONCAM,Z2,Barnes and Noble Bookstore,48,,Fifth Street NW,33.77668,-84.38863,1
